Time,Open,High,Low,Close,Adj Close,Volume,logClose
38,570.200012,580.799988,568.5,580,568.94397,12533761,6.363028104
39,580.200012,588.25,575.049988,576.5,565.510681,18163461,6.35697534
40,577.650024,587.599976,577.349976,583.599976,572.475342,12990869,6.369215776
41,585,586.450012,572.099976,573.5,562.567871,18959065,6.351757937
42,575,575,563.25,572.200012,561.292664,18561315,6.349488602
43,572.200012,580,572,573.450012,562.51886,16016715,6.35167077
44,574.700012,580.75,571.549988,578.150024,567.129272,11319335,6.359833392
45,578.75,584,574.650024,581.900024,570.8078,11410243,6.366298653
46,584,590.400024,582,586.299988,575.123901,22178229,6.373831584
47,586,590.5,579.5,586.299988,575.123901,23739774,6.373831584
48,590.299988,593.900024,571.400024,574.200012,563.254578,45656620,6.352977789
49,579,586.25,569.900024,575.150024,564.186462,42293962,6.354630918
50,577.5,580.299988,573.450012,577.150024,566.148315,21484049,6.35810224
51,578.900024,583.700012,576.799988,581.599976,570.513428,16120548,6.365782885
52,579.799988,585.25,578.25,582.700012,571.592529,17616658,6.367672495
53,582,582.900024,577,581.25,570.170166,16479436,6.365180957
54,581.25,587.75,580.549988,586,574.82959,9788076,6.37331979
55,590,596.400024,588.049988,595,583.65802,18432231,6.388561406
56,595,595.5,591.5,592.799988,581.5,15031640,6.384857054
57,583.799988,584.799988,577.5,579.849976,579.849976,28797643,6.362769408
58,581.799988,586.400024,581,582.75,582.75,17820226,6.367758278
59,584.700012,588.900024,583,587.200012,587.200012,11323908,6.375365498
60,588.5,589.799988,586,587.200012,587.200012,12920507,6.375365498
61,588,588.900024,583,585.349976,585.349976,11199940,6.372209918
62,588,590.599976,586,589.200012,589.200012,11113781,6.378765705
63,589.950012,593.950012,586.349976,588.5,588.5,15971917,6.377576927
64,588,589.099976,576.75,578.700012,578.700012,18870272,6.360784229
65,580,581.5,577.700012,578.650024,578.650024,8786066,6.360697846
66,579.450012,581.400024,574.25,576.400024,576.400024,12612098,6.356801906
67,577,578.549988,575.25,576.549988,576.549988,8948696,6.357062045
68,576,576.700012,565.25,566.5,566.5,17934877,6.33947708
69,568.75,574.700012,567.049988,571.25,571.25,12660226,6.347826942
70,571.25,572.75,565.900024,568.849976,568.849976,17903691,6.343616737
71,568.849976,569.450012,562.549988,567.400024,567.400024,14549152,6.341064565
72,567.400024,569.5,565.650024,566.349976,566.349976,14946871,6.339212219
73,566.349976,569,561.049988,562.950012,562.950012,14979063,6.333190836
74,562,562.099976,553.799988,554.599976,554.599976,12215712,6.31824709
75,556,558.5,554.5,557.049988,557.049988,8360264,6.322654981
76,558.25,567.950012,555.650024,566.099976,566.099976,10694768,6.338770699
77,572.25,574,568.549988,569.799988,569.799988,18028934,6.345285401
78,574,574,570.200012,572.849976,572.849976,8718232,6.35062386
79,574.5,586.349976,573.900024,585.450012,585.450012,15421985,6.372380803
80,588.200012,595.950012,582.25,589.25,589.25,24799250,6.378850542
81,589.799988,593.700012,588.200012,590.599976,590.599976,13598114,6.381138929
82,590.400024,593.5,589.099976,592.5,592.5,11323509,6.384350873
83,590,595.5,585.5,593.599976,593.599976,11707209,6.386205651
84,594.650024,599.799988,590.25,592.599976,592.599976,11417363,6.384519595
85,595,595.950012,587.349976,588.549988,588.549988,13221177,6.377661864
86,589,594.5,588.200012,589.25,589.25,16029716,6.378850542
87,594.900024,598,583.349976,585.650024,585.650024,20024503,6.372722382
88,586.75,591.299988,580.700012,584.400024,584.400024,12190152,6.370585721
89,587,602.849976,584.200012,601.099976,601.099976,19378986,6.39876127
90,603.049988,604.049988,588.75,592.349976,592.349976,25757209,6.384097636
91,594.650024,602.400024,592,601.450012,601.450012,17556585,6.399343426
92,601.400024,610.799988,598.75,610.049988,610.049988,34038351,6.413540901
93,610,619.5,609,615.099976,615.099976,21040281,6.421784817
94,615.049988,621.900024,614.299988,617.650024,617.650024,11756364,6.425921993
95,621.799988,621.799988,604.200012,609.599976,609.599976,18503305,6.412802965
96,612,616.349976,609.150024,615.150024,615.150024,9999125,6.42186618
97,616.400024,621.25,613.099976,616.549988,616.549988,17444742,6.424139403
98,616.400024,619.900024,613.599976,616.049988,616.049988,11930586,6.42332811
99,616.650024,621,614.5,620.200012,620.200012,8605483,6.430042026
100,620.200012,620.849976,610.599976,611.849976,611.849976,13493453,6.416487115
101,609.849976,610.5,594.099976,598.450012,598.450012,14977497,6.394342999
102,598.700012,600.849976,585,590.5,590.5,27774877,6.380969636
103,594.799988,598.700012,571.400024,573.299988,573.299988,52725616,6.351409119
104,577,577,566.650024,567.900024,567.900024,32736325,6.341945389
105,571,574.25,568.450012,573.099976,573.099976,25038671,6.35106018
106,575,575,568.349976,573.75,573.75,15769111,6.352193761
107,573.75,577.599976,570.099976,573.650024,573.650024,27325801,6.352019496
108,575.450012,579,572,574.150024,574.150024,18221179,6.352890728
109,572.950012,573,558.599976,560.799988,560.799988,28084093,6.329364314
110,558.799988,566.400024,554,565.349976,565.349976,15725767,6.337444966
111,565.75,573.150024,564,572.150024,572.150024,27910162,6.349401237
112,570,575.25,567.400024,572.950012,572.950012,18253227,6.350798474
113,572.950012,575.549988,570.75,571.700012,571.700012,9380810,6.348614399
114,572.5,574.450012,567.5,568.5,568.5,14073413,6.343001313
115,571,577.950012,566,576.900024,576.900024,18579297,6.357668983
116,578.150024,582,575.549988,576.950012,576.950012,24131644,6.357755628
117,573.799988,575.299988,567.200012,569.950012,569.950012,12271885,6.345548659
118,572.799988,574.799988,569.200012,572.849976,572.849976,9711932,6.35062386
119,573.650024,576.299988,571.849976,574.849976,574.849976,13144855,6.354109095
120,576.700012,577.700012,566.099976,567.400024,567.400024,15281416,6.341064565
121,569.299988,570.299988,559.400024,561.349976,561.349976,27898476,6.330344554
122,562.700012,571.200012,562.099976,569.549988,569.549988,18121168,6.344846554
123,572,576.349976,568.450012,575.549988,575.549988,12108655,6.355326085
124,575.599976,578.25,571.349976,573,573,14444729,6.350885717
125,574.25,574.25,568,570.5,570.5,20609936,6.346513169
126,568,581,568,579.049988,579.049988,12390597,6.361388809
127,581,588.5,579.700012,583.450012,583.450012,14032068,6.368958779
128,587,592.299988,585.349976,591.700012,591.700012,10946134,6.38299977
129,593.650024,594.25,584.650024,588.349976,588.349976,16093060,6.377321968
130,588.400024,598,583.450012,596.450012,596.450012,19377172,6.390995436
131,598.450012,603.700012,595.200012,597.299988,597.299988,13178911,6.39241948
132,599.349976,600.700012,595.200012,598.799988,598.799988,11756389,6.394927633
133,598.799988,608.400024,597.049988,603.950012,603.950012,19305055,6.403491433
134,600.849976,606.799988,599.400024,601.099976,601.099976,21314600,6.39876127
135,600,606.599976,584.650024,588.150024,588.150024,23453425,6.376982058
136,593.5,602,591.400024,598.150024,598.150024,18784139,6.393841599
137,601.5,601.5,590.450012,594.049988,594.049988,9712784,6.386963471
138,594,595,591.25,594.400024,594.400024,8327427,6.387552534
139,593.450012,594.299988,588.200012,589.75,589.75,9865347,6.379698718
140,591.25,595.200012,588.849976,589.950012,589.950012,21960816,6.380037808
141,592.849976,600,591.299988,598.549988,598.549988,12189735,6.394510044
142,596.599976,604.900024,589.599976,602.950012,602.950012,15322196,6.401834294
143,600,600.450012,584.450012,586.25,586.25,24914612,6.37374632
144,590,594.349976,587.099976,592.150024,592.150024,13248028,6.383760022
145,593.400024,598.950012,592.200012,594.25,594.25,8216780,6.387300106
146,588,589,581.549988,585.099976,585.099976,9189597,6.371782732
147,587,595,585.75,591.650024,591.650024,10373508,6.382915284
148,596.900024,597,587.599976,588.349976,588.349976,14220119,6.377321968
149,590.799988,593,585,586.049988,586.049988,11983797,6.37340509
150,577.75,581.299988,574.799988,576.150024,576.150024,19064577,6.356368085
151,576,578.75,571.5,575.650024,575.650024,11290293,6.355499879
152,577.700012,579.950012,575.299988,576.450012,576.450012,10765224,6.356888626
153,577.75,579.25,569.349976,572.650024,572.650024,11777454,6.350274752
154,569.799988,574,567,571.200012,571.200012,11441499,6.347739432
155,569.900024,570,562.099976,563.099976,563.099976,11110988,6.33345719
156,563.099976,566,551,552.950012,552.950012,11875035,6.315267603
157,558.599976,560.799988,553.599976,556.200012,556.200012,12134624,6.321127963
158,551.450012,552.900024,543.200012,547,547,19424825,6.304448802
159,550,562.5,550,561.150024,561.150024,10415296,6.329988292
160,563,566.700012,556.5,565.200012,565.200012,8593704,6.337179672
161,567,569.5,563.150024,565.549988,565.549988,13039696,6.337798688
162,566.25,569.650024,563.849976,566.400024,566.400024,13575575,6.339300585
163,571.099976,575.450012,567.599976,572.099976,572.099976,11148516,6.349313759
164,576,579.5,573.450012,578.150024,578.150024,11371371,6.359833392
165,582,582.5,573.25,574.349976,574.349976,16499138,6.353238925
166,574.799988,581.200012,572.599976,579.75,579.75,17923281,6.362596976
167,581.900024,582.599976,579,580.299988,580.299988,15434808,6.363545191
168,581,581.849976,576.5,578.349976,578.349976,12434363,6.36017918
169,577.799988,581,575.400024,579.5,579.5,6773038,6.362165663
170,581,582.5,575.200012,581.349976,581.349976,11282362,6.365352944
171,587.25,588,582.599976,584.700012,584.700012,11397676,6.371098916
172,584.700012,588,582.900024,584.650024,584.650024,8622660,6.371013419
173,574.5,574.5,562.099976,563.049988,563.049988,37173221,6.333368413
174,564,566.799988,560.599976,563.75,563.75,12714585,6.334610891
175,566,566.650024,561,561.5,561.5,14280013,6.330611774
176,562.950012,564.5,555.150024,558.950012,558.950012,14909071,6.326060045
177,561.75,563.5,558.299988,559.950012,559.950012,6376210,6.327847515
178,561.950012,562.450012,559.25,560.349976,560.349976,6529851,6.328561546
179,563.599976,565.200012,561.099976,564.450012,564.450012,8153314,6.335851827
180,568,569,565.099976,568.599976,568.599976,10299034,6.343177157
181,569.75,570.200012,563.650024,564.75,564.75,19758998,6.336383155
182,567,574.200012,566.549988,571.75,571.75,10614230,6.348701833
183,588,596,584.549988,594.700012,594.700012,26077882,6.388057097
184,595.049988,611.299988,595.049988,608.25,608.25,36430152,6.410585982
185,614,614,604.549988,608.450012,608.450012,21439069,6.41091476
186,610,612.549988,605,611.700012,611.700012,10725706,6.416241986
187,610,616.799988,605.349976,614.150024,614.150024,17722136,6.420239237
188,615,619.900024,613.099976,614.25,614.25,11706255,6.420402011
189,617,617.950012,610.799988,612.400024,612.400024,14494836,6.417385703
190,614.450012,620.5,611.650024,619.849976,619.849976,13977914,6.429477475
191,626,627.75,622.400024,623.650024,623.650024,15813797,6.435589352
192,628,650,619.849976,648.25,648.25,29813572,6.474276424
193,646.650024,655.650024,642.400024,648.5,648.5,16221796,6.474662004
194,648.5,659.599976,640.25,655.400024,655.400024,19964008,6.485245773
195,658.700012,660.400024,633.950012,636.450012,636.450012,22542056,6.455905879
196,632.150024,648.950012,627.5,643.75,643.75,19915516,6.467310452
197,644.75,649.400024,635.150024,636.75,636.75,14998068,6.456377114
198,638.849976,641.299988,635.650024,638.049988,638.049988,10153089,6.458416631
199,640.75,649.450012,639,648.549988,648.549988,14417646,6.474739083
200,650.25,653.299988,646.5,651.400024,651.400024,16982092,6.47912393
201,645.5,649.599976,639.549988,642.049988,642.049988,13221898,6.464666164
202,642.200012,646.900024,638,641.349976,641.349976,8295548,6.463575292
203,641.349976,648,633.849976,639.450012,639.450012,15164482,6.460608451
204,639.349976,648,635.799988,643.450012,643.450012,14571772,6.466844343
205,642.5,646.400024,638.650024,642.75,642.75,13883388,6.465755846
206,645,651.75,637.75,641.950012,641.950012,15984585,6.464510438
207,640,645,625.049988,627,627,14739531,6.440946541
208,632,634.349976,624.5,625.400024,625.400024,13400235,6.438391483
209,624.799988,625.299988,618.200012,621.75,621.75,12742464,6.432538083
210,626,627.150024,618.5,620.200012,620.200012,15533860,6.430042026
211,623.799988,636.5,621.099976,633.599976,633.599976,16620797,6.451417803
212,638.900024,645.5,636.099976,640.099976,640.099976,16844018,6.461624377
213,640,644.900024,633.450012,636.900024,636.900024,15025543,6.456612695
214,624,636.799988,623,626,626,30016308,6.439350371
